nombre_institucion,tipo_de_institucion,cuit,municipio_comuna_dom_real,departamento,telefono_principal_cod_area_sin_cero_y_telefono_sin_el_15,telefono_secundario_cod_area_sin_cero_y_telefono_sin_el_15,e_mail,calle_dom_real,nro_dom_real,denominacion_sede_anexo,direccion_anexo,pagina_web,red_social_intagram,red_social_facebook,disciplinas,deporte_adaptado,infraestructura_adaptada_para_accesibilidad,latitud,longitud,tipo_de_espacios_deportivos
CLUB ATLETICO SOCIAL Y DEPORTIVO SAN LORENZO DE VILLA ADELA,CLUB DEPORTIVO,3.0711016453E10,CONCORDIA,CONCORDIA,3.45407875E9,3.45407875E9,sanlorenzovillaadelaclub@gmail.com,IDELFONSA CUADRADO Y PABLO VI,S/N,,,,@sanlorenzo_va,https://www.facebook.com/SanLorenzoVA/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.4013794710576,-58.0727054274867,"Cancha de Fútbol, SUM, cancha de basquet"
SANTA MARIA DE ORO FUTBOL CLUB,CLUB DEPORTIVO,3.0708304529E10,CONCORDIA,CONCORDIA,3.454280979E9,3.454222012E9,rodriguezangeloscar03@gmail.com,LAPRIDA,337.0,,,,,https://www.facebook.com/santamariadeorofcoficial/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.4012045762351,-58.0262904094368,Cancha de Fútbol
CLUB ESTUDIANTES CONCORDIA,CLUB DEPORTIVO,3.0709366781E10,CONCORDIA,CONCORDIA,3.454210289E9,3.45409307E9,clubestudiantesconcordia@yahoo.com.ar,SAN LUIS Y STA. MARIA DE ORO,,,,,@clubestudiantesconcordia,https://www.facebook.com/clubestudiantesconcordia/?locale=es_LA,"Básquet, Fútbol, Voley, Artes Marciales/deportes de contacto, Futsal",SIN DATOS,SIN DATOS,-31.4006187546046,-58.0206002636294,"cancha de basquet, Cancha Techada, SUM"
CLUB DE PESCA CONCORDIA ASOCIACIÓN,CLUB DEPORTIVO,3.0506752384E10,CONCORDIA,CONCORDIA,3.456021833E9,3.454980673E9,clubpescaconcordia1929@gmail.com,GASTELACOTO,199.0,,,,@clubpescaconcordia,(1) Facebook,"Voley, Náuticos, Hockey césped, Fútbol, Pesca",SIN DATOS,SIN DATOS,-31.4002746007692,-57.9997480264706,"Otros, Cancha de Hockey, Cajon de arena, Cancha hockey cesped"
CLUB DE LUCHAS KAESHI,PRIVADO,SIN CUIT 045,CONCORDIA,CONCORDIA,,,,,,,,,,https://www.facebook.com/p/Kaeshi-Club-de-Luchas-100063741152312/?locale=es_LA,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.3998647850176,-58.0193774563156,"Gimnasio, SUM"
CLUB REGATAS CONCORDIA,CLUB DEPORTIVO,3.0506754743E10,CONCORDIA,CONCORDIA,3.454212663E9,3.454020762E9,clubregatconcordia@gmail.com,GASTELACOTO,S/N,,,,@clubregatas_,(1) Facebook,"Fútbol, Natación, Náuticos, Hockey césped",SIN DATOS,SIN DATOS,-31.3993588383417,-57.9984659306068,"Cancha de Fútbol, SUM, Pileta Descubierta"
CLUB ATLETICO FERROCARRIL,CLUB DEPORTIVO,3.0670837323E10,CONCORDIA,CONCORDIA,3.454212636E9,3.454012799E9,clubferroconcordia@gmail.com,BUENOS AIRES,235.0,,,www.clubferroconcordia.com.ar,@ferrocarrilconcordia,https://www.facebook.com/FerrocarrilConcordia,"Fútbol, Básquet , Patinaje artístico, Voley, Gimnasia Artística, Artes Marciales/deportes de contacto, Handball, Boxeo",SIN DATOS,SIN DATOS,-31.3992867894259,-58.0141961043097,"cancha de basquet, Cancha Techada, SUM, Cancha de Fútbol"
SKATEPARK CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 036,CONCORDIA,CONCORDIA,,,,AVENIDA DEL RIO ESQ CALLE INTERNA,,,,,,https://www.facebook.com/p/Skatepark-Concordia-100067005277346/,Deportes Urbanos,SIN DATOS,SIN DATOS,-31.3990520923033,-58.0020444067454,skatepark
CLUB ATLETICO RIO URUGUAY,CLUB DEPORTIVO,3.3651335529E10,CONCORDIA,CONCORDIA,3.454217677E9,3.454342378E9,clubriouruguayconcordia@hotmail.com,PRESBITERO DEL CASTILLO,625.0,,,,https://www.instagram.com/clubriouruguaypadel/,https://www.facebook.com/profile.php?id=100070230018928,"Artes Marciales/deportes de contacto, padel",SIN DATOS,SIN DATOS,-31.3984633004407,-58.0103406142275,"cancha de padel, SUM"
CLUB VASCO ARGENTINO,CLUB DEPORTIVO,3.0708668202E10,CONCORDIA,CONCORDIA,3.454211652E9,3.456254763E9,miguel_78_421@hotmail.com,ALBERDI,170.0,,,,@clubvascoargentino/,https://www.facebook.com/p/Club-Vasco-Argentino-100063841320361/,"Pelota paleta, Fitness",SIN DATOS,SIN DATOS,-31.3963760580017,-58.0148668803836,"cancha de pelota, Gimnasio"
GIMNASIO MUNICIPAL DE CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 006,CONCORDIA,CONCORDIA,,,,SAN JUAN Y CORRIENTES,,,,,Subsecretaría de Deportes. (@concordia.deportes) • Fotos y videos de Instagram,,"Voley, Futsal",SIN DATOS,SIN DATOS,-31.3948128205304,-58.0125667676469,Cancha Techada
TANABE DOJO,PRIVADO,SIN CUIT 050,CONCORDIA,CONCORDIA,,,,,,,,,,https://www.facebook.com/tanabedojo/?locale=es_LA,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.394533772744,-58.0084977314033,SUM
UNIVERSIDAD TECNOLÓGICA NACIONAL (UTN),PREDIO UNIVERSITARIO,3.0546671166E10,CONCORDIA,CONCORDIA,,,,,,,,www.frcon.utn.edu.ar/deportes/,,,,SIN DATOS,SIN DATOS,-31.3942684562272,-58.0117295416538,
"CLUB SOCIAL Y DEPORTIVO ""JOSÉ NICOLÁS RUSSO""",CLUB DEPORTIVO,3.3708662459E10,CONCORDIA,CONCORDIA,3.455290362E9,3.45529272E9,estudiofuser1377@gmail.com,ITUZAINGO,724.0,,,,@russo.jn,Club Jose Nicolas Russo | Concordia | Facebook,"Bochas, padel",SIN DATOS,SIN DATOS,-31.3940171363922,-58.0264816634107,"cancha de bochas, SUM, cancha de padel"
ASOCIACION CLUB SOCIAL Y DEPORTIVO TEMPERLEY CONCORDIA,CLUB DEPORTIVO,3.0716756137E10,CONCORDIA,CONCORDIA,3.454114182E9,3.454153141E9,hockeypatintemperley@gmail.com,MONTEVIDEO,271.0,,,,@temperleyconcordia,https://www.facebook.com/p/Club-Temperley-Social-y-Deportivo-Concordia-100063607779391/?locale=es_LA,"Básquet , Voley, Fitness, Boxeo, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-31.3915075440995,-58.0116532905416,"cancha de basquet, Gimnasio"
CLUB DEFENSORES DEL BARRIO NEBEL,CLUB DEPORTIVO,3.0710311362E10,CONCORDIA,CONCORDIA,3.45433905E9,3.454017039E9,68caco@gmail.com,AV CHAJARÍ,0.0,,,,@cdbnoficial,https://www.facebook.com/cdbnebel14/?locale=es_LA,"Fútbol, Futsal",SIN DATOS,SIN DATOS,-31.3911811053154,-57.9974052343178,Cancha de Fútbol
CLUB DEFENSORES DE POMPEYA,CLUB DEPORTIVO,3.0710645511E10,CONCORDIA,CONCORDIA,3.454218527E9,3.455209243E9,ttamaquinas@arnet.com.ar,HUMBERTO PRIMO,880.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.3905773483156,-58.0302581802901,SUM
CLUB ATLETICO ALUMNI,CLUB DEPORTIVO,3.0688778065E10,CONCORDIA,CONCORDIA,3.454216513E9,3.454946611E9,dariomorilla@yahoo.com.ar,P. DEL CASTILLO,1072.0,,,,,https://www.facebook.com/p/Club-Alumni-Concordia,"Bochas, Gimnasia Artística, Futsal, Básquet",SIN DATOS,SIN DATOS,-31.3902744009604,-58.0087887072895,"cancha de bochas, cancha de basquet, SUM"
CLUB ATLETICO COLEGIALES,CLUB DEPORTIVO,3.0709678678E10,CONCORDIA,CONCORDIA,3.454160955E9,3.454160955E9,clubcolegiales@hotmail.com,PERU,833.0,,,,@clubcolegialesoficial,https://www.facebook.com/p/Club-atl%C3%A9tico-colegiales-100064076763340/,Fútbol,SIN DATOS,SIN DATOS,-31.3890719350701,-58.0454910399636,Cancha de Fútbol
CESITABOX,PRIVADO,SIN CUIT 051,CONCORDIA,CONCORDIA,,,,,,,,,https://www.instagram.com/cesitabox/?hl=es,,Boxeo,SIN DATOS,SIN DATOS,-31.3871640075798,-58.0196094040972,Gimnasio
GIMNASIO KANPEKI,PRIVADO,SIN CUIT 052,CONCORDIA,CONCORDIA,,,,PIROVANO,458.0,,,,https://www.instagram.com/gimnasio.kanpeki/?hl=es,https://www.facebook.com/gimnasio.kanpeki/?locale=es_LA,"Gimnasia Artística, Fitness",SIN DATOS,SIN DATOS,-31.3865504166003,-58.0257841766949,"Gimnasio, SUM"
CENTRO DE CONVENCIONES DE CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 005,CONCORDIA,CONCORDIA,3.4542913E9,,info@centroconvenciones.gob.ar,SAN LORENZO OESTE,101.0,,,Centro de Convenciones | Municipalidad de Concordia,,https://www.facebook.com/ccconcordiaer/?locale=es_LA,OTROS,SIN DATOS,SIN DATOS,-31.384345899071,-58.0180488482611,
SOCIEDAD PARQUE VICTORIA,CLUB DEPORTIVO,3.0570760277E10,CONCORDIA,CONCORDIA,3.45422312E9,3.456020444E9,info@clubvictoriapark.com.ar,BELGRANO,1423.0,,,,https://www.instagram.com/club.victoria.park,https://www.facebook.com/Concordia-Tenis-Club-100052711395393/,Tenis,SI,SIN DATOS,-31.3842142916399,-58.0019109761302,"cancha de tenis, Pileta Descubierta, SUM"
UNIVERSIDAD NACIONAL DE ENTRE RIOS (UNER),PREDIO UNIVERSITARIO,3.0562252157E10,CONCORDIA,CONCORDIA,,,,,,,,www.estudia.uner.edu.ar/deportes/,"uneroficial
https://www.instagram.com/bienestar.uner/",https://www.facebook.com/UNERoficial/?locale=es_LA,"Voley, Fútbol, Básquet , Handball, Fitness",SIN DATOS,SIN DATOS,-31.3816990154944,-58.0225865472179,"Cancha de Fútbol, Cancha Techada, cancha de basquet, Gimnasio"
DOJO YOSHITAKA KARATE JKA,PRIVADO,SIN CUIT 053,CONCORDIA,CONCORDIA,,,,REPÚBLICA DE BRASIL,312.0,,,,https://www.instagram.com/karate.yoshitaka.jka/?hl=es,https://www.facebook.com/karate.yoshitaka.jka/?locale=es_LA,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.3805711706772,-58.0070334558773,"Gimnasio, SUM"
ASOCIACION ENTRERRIANA DE KARATE,CLUB DEPORTIVO,3.0708306106E10,CONCORDIA,CONCORDIA,3.454222012E9,3.454040259E9,frejtmanyasoc@hotmail.com,REP. DE BRASIL,312.0,,,,@asociacionentrerrianadekarate,https://www.facebook.com/p/Asociacion-Entrerriana-De-Karate-100083550543053/,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.3805345404955,-58.00718753497,SUM
CLUB SPORTIVO LAS HERAS,CLUB DEPORTIVO,3.0709476498E10,CONCORDIA,CONCORDIA,3.454254964E9,3.454128177E9,lasheras.04@hotmail.com,DR. DEL CERRO,1441.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.3775903601053,-58.0437675055046,
CLUB UNIÓN,CLUB DEPORTIVO,3.0711058458E10,CONCORDIA,CONCORDIA,3.454024214E9,3.454254101E9,prensaclubunionconcordia@gmail.com,LA PAMPA Y J.J SOLA,S/N,Cancha de fútbol 11,"-31.37433473191262, -58.02638110466134",,@clubunion_los_villeros,https://www.facebook.com/ClubUniondevillajardin/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.3758190757224,-58.0364121808926,Cancha de Fútbol
CLUB HIPICO CONCORDIA,CLUB DEPORTIVO,3.0578372683E10,CONCORDIA,CONCORDIA,3.454217303E9,3.456260144E9,secretariaclubhipico@gmail.com,GDOR CRESTO,S/N,,,,@clubhipico_concordia,https://www.facebook.com/p/Club-Hipico-Concordia,"Natación, Hipismo, Tenis, Básquet , Hockey césped",SIN DATOS,SIN DATOS,-31.3754636496778,-58.0137855550346,"Pileta Descubierta, SUM, Otros, cancha de tenis, cancha de basquet, Gimnasio, Cancha de Hockey, Cancha hockey cesped"
CENTRO PROVINCIAL DE EDUCACIÓN FÍSICA Nº4 GRAL. SAN MARTIN,POLIDEPORTIVO PROVINCIAL,3.0623328607E10,CONCORDIA,CONCORDIA,,,,SALTO URUGUAYO,504.0,,,,https://www.instagram.com/cef4concordia/?hl=en,https://www.facebook.com/cef4concordia/?locale=es_LA,"Handball, Hockey césped, Voley, Natación, Fitness, Tiro con Arco, Básquet",SIN DATOS,SIN DATOS,-31.3749,-58.0033,"Cancha de Hockey, Cancha Techada, Pileta Techada, Otros, SUM, Cajon de arena, Cancha hockey cesped"
CLUB SALTO GRANDE,CLUB DEPORTIVO,3.0610590167E10,CONCORDIA,CONCORDIA,3.454310875E9,3.454953919E9,ceclubsaltogrande@hotmail.com,LAMADRID,S/N,,,,@clubsaltogrande,https://www.facebook.com/CSG.Concordia.Oficial/?locale=es_LA,"Básquet, Fútbol, Hockey césped, Rugby, Natación, Tenis",SIN DATOS,SIN DATOS,-31.3744050828071,-58.0020511308162,"Cancha de Fútbol, Pileta Techada, Cancha de Hockey, cancha de tenis, Cancha de Rugby, cancha de basquet, SUM, Cancha hockey cesped"
ASOCIACIÓN DE BOCHAS CONCORDIA,CLUB DEPORTIVO,3.0688778138E10,CONCORDIA,CONCORDIA,3.454212108E9,3.45529272E9,jcfuser552@gmail.com,PTE. ILLIA,242 (O),,,,,https://www.facebook.com/asociacion.bochas.concordia/,Bochas,SIN DATOS,SIN DATOS,-31.3742787044444,-58.0179706826259,
POLIDEPORTIVO DE CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 055,CONCORDIA,CONCORDIA,,,,,,,,https://www.concordia.gob.ar/,https://www.instagram.com/concordia.municipalidad/,https://www.facebook.com/Concordia.Municipalidad/,"Fútbol, Atletismo, Softbol, Básquet , Tiro con Arco, Natación, Handball",SIN DATOS,SIN DATOS,-31.37424,-58.00363,"pista de atletismo, Otros, cancha de basquet, Cancha Techada, Pileta Techada"
TAEKWONDO CHUL HAK SAN,PRIVADO,SIN CUIT 054,CONCORDIA,CONCORDIA,,3.45523307E9,valenyasuff@gmail.com,Monseñor Tavella,1467.0,,,,,https://www.facebook.com/taekwondoconcordiayalrededores/?locale=es_LA,Artes Marciales/deportes de contacto,SIN DATOS,SIN DATOS,-31.3726582242174,-58.0208228324081,Gimnasio
CLUB SOCIAL Y DEPORTIVO OBRAS SANITARIAS CONCORDIA,CLUB DEPORTIVO,3.0709793183E10,CONCORDIA,CONCORDIA,3.454222012E9,3.454222012E9,frejtmanyasoc@hotmail.com,CALLE INTERNA PARQUE SAN CARLOS,S/N,,,,@clubobrassanitarias,,Fútbol,SIN DATOS,SIN DATOS,-31.3719699707664,-57.9914100611933,SUM
ASOCIACIÓN DEPORTIVA MONSEÑOR RICARDO RÖSCH,CLUB DEPORTIVO,3.070865572E10,CONCORDIA,CONCORDIA,3.454094606E9,3.454335265E9,asesordpedagogia@gmail.com,CHILE/CONCEJAL VEIGA ENTRE CÓRDOBA/DOCTOR ALDA,S/N,,,,@a_d_monsenor_rosch_oficial,https://www.facebook.com/roschoficial/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.3717971697303,-58.0227824604791,Cancha de Fútbol
POLIDEPORTIVO VICTOR OPPEL,POLIDEPORTIVO MUNICIPAL,SIN CUIT 003,CONCORDIA,CONCORDIA,,,,MOULINS,1779.0,,,,,,"Fútbol, Rugby, padel, Bochas, Natación, OTROS",SIN DATOS,SIN DATOS,-31.3714925667315,-58.0487066506873,"Cancha de Fútbol, Pileta Descubierta, Cancha de Rugby, SUM, cancha de basquet, Otros"
CLUB LOS ESPINILLOS,CLUB DEPORTIVO,3.0710451997E10,CONCORDIA,CONCORDIA,3.454230861E9,3.456251461E9,clublosespinillos@gmail.com,AV. GOBERNADOR CRESTO Y AV DOCTOR SAURÉ,S/N,,,www.clublosespinillos.com/,@clublosespinillos,,"Hockey césped, Rugby",SIN DATOS,SIN DATOS,-31.3711067239141,-58.0159262627445,"Cancha de Rugby, Cancha de Hockey, Gimnasio, SUM, Cancha hockey cesped, Cajon de arena"
HIPÓDROMO DE CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 040,CONCORDIA,CONCORDIA,,,,,,,,,,,Hipismo,SIN DATOS,SIN DATOS,-31.3622380712349,-58.0661967754962,Otros
CLUB SOCIAL Y DEPORTIVO DR. ERNESTO P. ANCEL,CLUB DEPORTIVO,3.0717105849E10,CONCORDIA,CONCORDIA,,,,MONS. TAVELLA,2834.0,,,,,https://www.facebook.com/p/Club-social-y-Deportivo-Ernesto-P-Ancel-100057155722690/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.3582980142649,-58.017052214175,Cancha de Fútbol
COMPLEJO POLIDEPORTIVO MUNICIPAL DE BOVRIL,POLIDEPORTIVO MUNICIPAL,SIN CUIT 083,BOVRIL,LA PAZ,,,,,,,,https://bovril.gob.ar/,,https://www.facebook.com/municipalidaddebovril/?locale=sr_RS,"Atletismo, Natación, Voley, Básquet, Fútbol",SIN DATOS,SIN DATOS,-31.3486915602424,-59.445642428163,"Cancha Techada, pista de atletismo, Pileta Techada, Otros, Cancha de Fútbol, Cajon de arena"
CLUB SOCIAL Y DEPORTIVO LA BIANCA,CLUB DEPORTIVO,3.0688783735E10,CONCORDIA,CONCORDIA,3.454336363E9,3.454060297E9,csydlabianca@gmail.com,EVA PERON Y JUJUY,S/N,,,,,https://www.facebook.com/p/Club-Social-y-Deportivo-La-Bianca,Fútbol,SIN DATOS,SIN DATOS,-31.3468020547081,-58.0054318161662,Cancha de Fútbol
CLUB DEPORTIVO BOVRIL,CLUB DEPORTIVO,3.0681069069E10,BOVRIL,LA PAZ,3.438421208E9,3.438440024E9,castiliso@hotmail.com,SAN MARTIN,506.0,,,,@clubdeportivobovril,https://www.facebook.com/ClubDeportivoBovril/?locale=es_LA,"Fútbol, Voley, Gimnasia Artística, padel, Fitness",SIN DATOS,SIN DATOS,-31.3457477393211,-59.4462384316498,"Cancha de Fútbol, Gimnasio, cancha de padel"
CLUB SOCIAL Y DEPORTIVO GENERAL SAN MARTIN,CLUB DEPORTIVO,3.0688785649E10,CONCORDIA,CONCORDIA,3.454053579E9,3.454251089E9,daniel-grandi@hotmail.com,AV. MONSEÑOR ROSCH Y LAS PALMERAS,-,,,,,,,SIN DATOS,SIN DATOS,-31.3414206726048,-58.0152883791556,"SUM, cancha de bochas"
CONCORDIA GOLF CLUB,CLUB DEPORTIVO,3.0530279061E10,CONCORDIA,CONCORDIA,3.454250582E9,"3455213320
3454348834",administracion@concordiagolfclub.com.ar,AV. MONSEÑOS ROSCH S/N,,,,www.concordiagolfclub.com.ar,@concordiagc,Concordia Golf Club,Golf,SIN DATOS,SIN DATOS,-31.337298340164,-58.0142668489512,"SUM, Otros, Campo de Golf"
CLUB ATLÉTICO JUVENTUD UNIDA,CLUB DEPORTIVO,3.0700163454E10,BOVRIL,LA PAZ,,,,AV. URQUIZA,342.0,Cancha de futbol 11,"-31.336000814772493, -59.448136046201945",,,https://www.facebook.com/people/Sub-Comisi%C3%B3n-Club-Atl%C3%A9tico-Juventud-Unida-Bovril/100063262298896/,Fútbol,SIN DATOS,SIN DATOS,-31.3369626081522,-59.445934493882,"Cancha de Fútbol, SUM"
CLUB SOCIAL CULTURAL Y DEPORTIVO VILLA ZORRAQUIN,CLUB DEPORTIVO,3.0711231133E10,CONCORDIA,CONCORDIA,3.45154121552E11,,clubvillazorraquin@gmail.com,HUMBERTO PRIMO,4765.0,,,,,https://www.facebook.com/people/Club-C-S-C-Y-D-Villa-Zorraquin-2023/100091589081790/,Fútbol,SIN DATOS,SIN DATOS,-31.3230961734326,-58.0139638290748,Cancha de Fútbol
CLUB ALMIRANTE GUILLERMO BROWN DE CONCORDIA,CLUB DEPORTIVO,3.0715469371E10,CONCORDIA,CONCORDIA,3.454222012E9,3.454151624E9,frejtmanyasoc@hotmail.com,VUELTA DE OBLIGADO,1960.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.3171054300589,-58.0545489171553,"Cancha de Fútbol, SUM"
CLUB LOS YAROS,CLUB DEPORTIVO,3.0591033308E10,CONCORDIA,CONCORDIA,3.454250225E9,3.456026931E9,clublosyarosconcordia@gmail.com,AV. MONSEÑOR RÖSCH,S/N,,,,@clublosyarosoficial,https://www.facebook.com/clublosyarosoficial/,"Natación, Tiro con Arco, Básquet, Tenis",SIN DATOS,SIN DATOS,-31.3157139516278,-58.0087723009664,"Pileta Descubierta, cancha de tenis, SUM, Otros, cancha de basquet"
AUTÓDROMO DE CONCORDIA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 041,CONCORDIA,CONCORDIA,,,,,,,,,,,Automovilismo / karting,SIN DATOS,SIN DATOS,-31.307126583671,-58.0074204477996,Otros
AEROCLUB CONCORDIA,CLUB DEPORTIVO,3.0670840324E10,CONCORDIA,CONCORDIA,3.454224245E9,3.454034513E9,estudiocontabletony@yahoo.com.ar,1º TTE JAVIER BORDAGARAY Y AV. MONS. RÖSCH,0.0,,,,@aeroclubconcordia,https://www.facebook.com/AeroclubCRD/,Aviación,SIN DATOS,SIN DATOS,-31.3041955687628,-58.0150106046648,"Otros, Pileta Descubierta"
Playón deportivo La Criolla,POLIDEPORTIVO MUNICIPAL,SIN CUIT 084,LA CRIOLLA,CONCORDIA,,,,,,,,,,,"Básquet , Voley, Futsal",SIN DATOS,SIN DATOS,-31.2719605047423,-58.109155633081,"cancha de basquet, SUM"
CLUB SOCIAL Y DEPORTIVO JUAN BAUTISTA ALBERDI,CLUB DEPORTIVO,3.0688756649E10,LA CRIOLLA,CONCORDIA,3.454900045E9,3.456264896E9,clubalberdilacriolla@hotmail.com,RIO BERMEJO,287.0,,,,@club_syd_alberdi,https://www.facebook.com/j.b.alberdi.lacriolla/?locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.2712748279611,-58.1076958241637,Cancha de Fútbol
CONCORDIA YACHT CLUB,CLUB DEPORTIVO,3.0708548215E10,CONCORDIA,CONCORDIA,3.454214988E9,,,1RO. DE MAYO,357,,,,@concordia-yacht-club,https://www.facebook.com/concordiayachtclub2018/,Náuticos,SIN DATOS,SIN DATOS,-31.2511755077033,-57.9497047527173,Otros
GIMNASIO POLIDEPORTIVO MUNICIPAL SAUCE DE LUNA,POLIDEPORTIVO MUNICIPAL,SIN CUIT 067,SAUCE DE LUNA,FEDERAL,,,munisdeluna@gmail.com,,,,,http://www.saucedeluna.gob.ar/,https://www.instagram.com/msaucedeluna/?fbclid=IwY2xjawLd8IVleHRuA2FlbQIxMABicmlkETBobFM4RlJjUXFLNTByWUJaAR4CsgJ23RQfJj5t-Vh0fZwZXJuw0Zh-ch-8cxubCmK2YU4MKLgRcpvZoQ6jcA_aem_Wjx29zj5co0D2y5CI1mc4g#,https://www.facebook.com/MunicipalidadDeSauceDeLunaOK,Voley,SIN DATOS,SIN DATOS,-31.23985,-59.22384,Cancha Techada
INDEPENDIENTE FOOT BALL CLUB,CLUB DEPORTIVO,3.0690503324E10,VILLA HERNANDARIAS,PARANÁ CAMPAÑA,1.166193216E9,1.166193216E9,ifbchernandarias@gmail.com,HIPÓLITO YRIGOYEN,570.0,,,,,,Fútbol,SIN DATOS,SIN DATOS,-31.2340263855835,-59.9816974686797,Cancha de Fútbol
CLUB ATLETICO HERNANDARIAS,CLUB DEPORTIVO,3.0707373136E10,VILLA HERNANDARIAS,PARANÁ CAMPAÑA,,,,EVA PERON,263.0,,,,,Club ATLÉTICO Hernandarias https://www.facebook.com/profile.php?id=100063486844028&sk=about&locale=es_LA,Fútbol,SIN DATOS,SIN DATOS,-31.22981,-59.98742,"Cancha Techada, Cancha de Fútbol, SUM"
CLUB ATLETICO 9 DE JULIO,CLUB DEPORTIVO,3.0712501029E10,COLONIA AYUÍ,CONCORDIA,3.45499203E9,3.45499292E9,9dejuliocoloniaayui@gmail.com,PROSPERO BOVINO,244.0,,,,https://www.instagram.com/9dejuliodecoloniaayui/,https://www.facebook.com/nuevedejulio.decoloniaayui?locale=es_LA,"Fútbol, Hockey césped, Básquet, Voley, Boxeo, Artes Marciales/deportes de contacto",SIN DATOS,SIN DATOS,-31.2086732161621,-58.0362715797319,"Cancha de Fútbol, cancha de basquet, SUM"
CLUB SOCIAL Y DEPORTIVO TUYANGÓ,CLUB DEPORTIVO,3.0690527894E10,PIEDRAS BLANCAS,LA PAZ,3.434670684E9,3.434670683E9,ridolfimiguelpsbs@yahoo.com.ar,AVENIDA TUYANGO,830.0,,,https://deportivotuyango.blogspot.com/,https://www.instagram.com/deportivotuyango/?hl=en,https://www.facebook.com/p/CS-y-Dep-Tuyango-100063792054726/,"Fútbol, Patinaje artístico",SIN DATOS,SIN DATOS,-31.1841330684304,-59.9502605711643,"Cancha de Fútbol, SUM"
CLUB ATLÉTICO EL SOLAR,CLUB DEPORTIVO,3.0709862657E10,EL SOLAR,LA PAZ,3.436230234E9,3.436230234E9,clubatleticoelsolar@gmail.com,RUTA NACIONAL 12 KM 549,549.0,,,,@club_atletico_el_solar,https://www.facebook.com/profile.php/?id=100075957684919,"Fútbol, Voley, Gimnasia Artística",SIN DATOS,SIN DATOS,-31.1825,-59.73275,"Cancha de Fútbol, Cancha Techada, Otros"
CLUB ATLETICO LOS CHARRÚAS,CLUB DEPORTIVO,3.071027721E10,LOS CHARRÚAS,CONCORDIA,3.454115649E9,3.454333858E9,clubatleticoloscharruas02@gmail.com,MARIANO MORENO Y URQUIZA,1369.0,,,,@c.a.loscharruas,,Fútbol,SIN DATOS,SIN DATOS,-31.1692986702438,-58.182596585591,"Cancha de Fútbol, SUM"
POLIDEPORTIVO MUNICIPAL CONSCRIPTO BERNARDI,POLIDEPORTIVO MUNICIPAL,SIN CUIT 010,CONSCRIPTO BERNARDI,FEDERAL,,,municbernardi@gmail.com,,,,,https://conscriptobernardi.gob.ar/,,https://www.facebook.com/municipalidadbernardi/?locale=es_LA,"Boxeo, Voley",SIN DATOS,SIN DATOS,-31.04895,-59.08423,Cancha Techada
CLUB POLICIAL FEDERACIÓN,CLUB DEPORTIVO,3.3688744879E10,FEDERACIÓN,FEDERACIÓN,3.456499039E9,3.456622219E9,marcos1983salas@gmail.com,AVDA SAN CAYETANO Y CALLE EL BIGUA,S/N,,,,,https://www.facebook.com/p/Club-social-y-deportivo-policial-100063930286778/,Fútbol,SIN DATOS,SIN DATOS,-31.0043497307129,-57.9235776200209,"Cancha de Fútbol, cancha de padel"
CLUB DEPORTIVO AMERICA,CLUB DEPORTIVO,3.0708274158E10,FEDERACIÓN,FEDERACIÓN,3.456515653E9,3.456448671E9,deportivoamericaoficial@gmail.com,BARRIO SAN CAYETANO,S/N,,,,@clubdeportivoamerica,https://www.facebook.com/AMERICAFEDERACIÓN/?locale=es_LA,"Fútbol, Hockey césped, Náuticos",SIN DATOS,SIN DATOS,-31.0033197607535,-57.9216731335146,Cancha de Fútbol
CLUB DEPORTIVO COSMOS,CLUB DEPORTIVO,3.3708269099E10,FEDERACIÓN,FEDERACIÓN,3.456455302E9,3.45643309E9,clubdeportivocosmosFEDERACIÓN@gmail.com,AVDA. ALEM Y MANDISOVI,1765.0,,,,,https://www.facebook.com/CLUBDEPORTIVOCOSMOSFEDERACIÓN/?locale=es_LA,"Fútbol, Fitness",SIN DATOS,SIN DATOS,-30.9952037215114,-57.922586448857,"Cancha de Fútbol, SUM"
